ndTE,work,cost,abdominal_mass,spring_constant,length_scale,petiole_length
0.6476850000000001,0.00021,41.536336999999996,0.1,0.1,1.0,0.0
0.700724,0.00020099999999999998,41.135751,0.1,0.1,1.0,0.0
0.656883,0.000205,45.212708,0.1,0.1,1.0,0.0
0.693074,0.000199,41.141273,0.1,0.1,1.0,0.0
0.672795,0.000198,40.021376000000004,0.1,0.1,1.0,0.0
0.665195,0.000198,41.194767,0.1,0.1,1.0,0.0
0.692048,0.0002,41.189565,0.1,0.1,1.0,0.0
0.6414350000000001,0.0002,42.283052000000005,0.1,0.1,1.0,0.0
0.695274,0.000204,43.580584,0.1,0.1,1.0,0.0
0.666471,0.000199,41.009945,0.1,0.1,1.0,0.0
0.643351,0.00021,41.852273,0.1,0.1,1.0,0.0
0.637441,0.000195,40.829938,0.1,0.1,1.0,0.0
0.715518,0.00021099999999999998,39.831237,0.1,0.1,1.0,0.0
0.684999,0.000206,40.518113,0.1,0.1,1.0,0.0
0.649238,0.000195,44.729126,0.1,0.1,1.0,0.0
0.622474,0.000198,44.732353,0.1,0.1,1.0,0.0
0.736889,0.000215,42.979663,0.1,0.1,1.0,0.0
0.6607609999999999,0.000199,42.175169,0.1,0.1,1.0,0.0
0.648701,0.000202,42.422729,0.1,0.1,1.0,0.0
0.677268,0.000199,41.827243,0.1,0.1,1.0,0.0
0.6304890000000001,0.000197,41.769659000000004,0.1,0.1,1.0,0.0
0.693164,0.000205,41.327639000000005,0.1,0.1,1.0,0.0
0.609246,0.000198,40.447027,0.1,0.1,1.0,0.0
0.592992,0.000198,43.141498,0.1,0.1,1.0,0.0
0.694948,0.00020899999999999998,39.400698999999996,0.1,0.1,1.0,0.0
0.6762229999999999,0.0002,41.009475,0.1,0.1,1.0,0.0
0.688041,0.00020899999999999998,42.838043,0.1,0.1,1.0,0.0
0.690607,0.00020899999999999998,40.768903,0.1,0.1,1.0,0.0
0.703403,0.00021400000000000002,39.912073,0.1,0.1,1.0,0.0
0.625437,0.000198,48.803434,0.1,0.1,1.0,0.0
0.6491640000000001,0.000206,41.501228999999995,0.1,0.1,1.0,0.0
0.65873,0.00020299999999999997,43.596412,0.1,0.1,1.0,0.0
0.644011,0.000197,41.240899,0.1,0.1,1.0,0.0
0.637439,0.000197,42.962746,0.1,0.1,1.0,0.0
0.681983,0.000198,40.408892,0.1,0.1,1.0,0.0
0.6093649999999999,0.000196,42.675599,0.1,0.1,1.0,0.0
0.646249,0.00020800000000000001,44.820254,0.1,0.1,1.0,0.0
0.6460020000000001,0.000202,43.108340999999996,0.1,0.1,1.0,0.0
0.646021,0.000199,39.040382,0.1,0.1,1.0,0.0
0.643931,0.000195,44.774386,0.1,0.1,1.0,0.0
0.65137,0.00020299999999999997,43.313994,0.1,1.0,1.0,0.0
0.675271,0.00021099999999999998,44.193498999999996,0.1,1.0,1.0,0.0
0.675918,0.000207,45.672259999999994,0.1,1.0,1.0,0.0
0.644644,0.000192,42.240603,0.1,1.0,1.0,0.0
0.697388,0.00021,39.604352,0.1,1.0,1.0,0.0
0.7046319999999999,0.00020299999999999997,40.726263,0.1,1.0,1.0,0.0
0.6800609999999999,0.000205,41.425503000000006,0.1,1.0,1.0,0.0
0.686531,0.000202,39.563140999999995,0.1,1.0,1.0,0.0
0.672737,0.000198,39.30175,0.1,1.0,1.0,0.0
0.6860149999999999,0.000199,43.720032,0.1,1.0,1.0,0.0
0.642754,0.000202,43.140619,0.1,1.0,1.0,0.0
0.66867,0.000204,60.342013,0.1,1.0,1.0,0.0
0.67702,0.00020299999999999997,44.079166,0.1,1.0,1.0,0.0
0.702662,0.000206,43.233383,0.1,1.0,1.0,0.0
0.607486,0.000194,43.369728,0.1,1.0,1.0,0.0
0.638865,0.000196,42.967304,0.1,1.0,1.0,0.0
0.632131,0.000199,41.761629,0.1,1.0,1.0,0.0
0.680702,0.000197,41.840605,0.1,1.0,1.0,0.0
0.683891,0.00021,40.368425,0.1,1.0,1.0,0.0
0.666626,0.000202,48.807015,0.1,1.0,1.0,0.0
0.6629520000000001,0.000194,43.555502000000004,0.1,1.0,1.0,0.0
0.703229,0.000202,39.35581,0.1,1.0,1.0,0.0
0.646147,0.000202,44.631422,0.1,1.0,1.0,0.0
0.6718689999999999,0.00020099999999999998,40.325943,0.1,1.0,1.0,0.0
0.646794,0.0002,42.675369,0.1,1.0,1.0,0.0
0.654275,0.00020099999999999998,42.761446,0.1,1.0,1.0,0.0
0.642338,0.000199,43.049727000000004,0.1,1.0,1.0,0.0
0.667142,0.000204,42.519814000000004,0.1,1.0,1.0,0.0
0.65503,0.000206,42.968576,0.1,1.0,1.0,0.0
0.63353,0.000196,43.755802,0.1,1.0,1.0,0.0
0.69384,0.00020299999999999997,41.003429,0.1,1.0,1.0,0.0
0.667351,0.00020099999999999998,43.735907,0.1,1.0,1.0,0.0
0.7461939999999999,0.000205,39.624728999999995,0.1,1.0,1.0,0.0
0.6355850000000001,0.000195,42.931375,0.1,1.0,1.0,0.0
0.6385609999999999,0.000195,42.963208,0.1,1.0,1.0,0.0
0.637225,0.000194,42.799577,0.1,1.0,1.0,0.0
0.653674,0.000206,42.326685999999995,0.1,1.0,1.0,0.0
0.674921,0.000206,44.627216,0.1,1.0,1.0,0.0
0.671597,0.000199,39.384421,0.1,1.0,1.0,0.0
0.6868920000000001,0.00020099999999999998,43.247894,0.1,1.0,1.0,0.0
0.672668,0.000196,40.115466999999995,0.1,10.0,1.0,0.0
0.639941,0.000198,42.490056,0.1,10.0,1.0,0.0
0.618997,0.000199,42.844827,0.1,10.0,1.0,0.0
0.647784,0.000193,42.250513,0.1,10.0,1.0,0.0
0.6707069999999999,0.000202,40.877373,0.1,10.0,1.0,0.0
0.605391,0.00018899999999999999,40.458375,0.1,10.0,1.0,0.0
0.641874,0.000196,41.244119,0.1,10.0,1.0,0.0
0.698332,0.0002,41.797631,0.1,10.0,1.0,0.0
0.699734,0.000198,40.448731,0.1,10.0,1.0,0.0
0.6503909999999999,0.000193,48.819059,0.1,10.0,1.0,0.0
0.610585,0.000199,42.532231,0.1,10.0,1.0,0.0
0.657353,0.000196,39.987495,0.1,10.0,1.0,0.0
0.6611199999999999,0.00019099999999999998,44.261796000000004,0.1,10.0,1.0,0.0
0.664194,0.00020099999999999998,41.496342999999996,0.1,10.0,1.0,0.0
0.6874020000000001,0.000195,38.417862,0.1,10.0,1.0,0.0
0.664538,0.00019099999999999998,41.178252,0.1,10.0,1.0,0.0
0.59716,0.000195,45.128721,0.1,10.0,1.0,0.0
0.680671,0.000199,42.461967,0.1,10.0,1.0,0.0
0.637043,0.000194,44.766834,0.1,10.0,1.0,0.0
0.626352,0.000194,43.525199,0.1,10.0,1.0,0.0
0.643957,0.000195,37.912927,0.1,10.0,1.0,0.0
0.6847949999999999,0.00020299999999999997,39.891288,0.1,10.0,1.0,0.0
0.6098680000000001,0.00018700000000000002,42.351495,0.1,10.0,1.0,0.0
0.719774,0.000199,42.277317,0.1,10.0,1.0,0.0
