ndTE,work,cost,LSF,motion,comboName,m,K,LSF,LE
0.647685,0.00021,41.536337,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.700724,0.000201,41.135751,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.656883,0.000205,45.212708,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.693074,0.000199,41.141273,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.672795,0.000198,40.021376,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.665195,0.000198,41.194767,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.692048,0.0002,41.189565,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.641435,0.0002,42.283052,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.695274,0.000204,43.580584,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.666471,0.000199,41.009945,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.643351,0.00021,41.852273,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.637441,0.000195,40.829938,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.715518,0.000211,39.831237,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.684999,0.000206,40.518113,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.649238,0.000195,44.729126,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.622474,0.000198,44.732353,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.736889,0.000215,42.979663,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.660761,0.000199,42.175169,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.648701,0.000202,42.422729,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.677268,0.000199,41.827243,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.630489,0.000197,41.769659,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.693164,0.000205,41.327639,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.609246,0.000198,40.447027,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.592992,0.000198,43.141498,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.694948,0.000209,39.400699,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.676223,0.0002,41.009475,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.688041,0.000209,42.838043,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.690607,0.000209,40.768903,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.703403,0.000214,39.912073,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.625437,0.000198,48.803434,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.649164,0.000206,41.501229,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.65873,0.000203,43.596412,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.644011,0.000197,41.240899,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.637439,0.000197,42.962746,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.681983,0.000198,40.408892,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.609365,0.000196,42.675599,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.646249,0.000208,44.820254,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.646002,0.000202,43.108341,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.646021,0.000199,39.040382,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.643931,0.000195,44.774386,LSF_1,hover,m_p1_K_p1,0.1,0.1,1,0
0.65137,0.000203,43.313994,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.675271,0.000211,44.193499,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.675918,0.000207,45.67226,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.644644,0.000192,42.240603,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.697388,0.00021,39.604352,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.704632,0.000203,40.726263,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.680061,0.000205,41.425503,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.686531,0.000202,39.563141,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.672737,0.000198,39.30175,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.686015,0.000199,43.720032,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.642754,0.000202,43.140619,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.66867,0.000204,60.342013,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.67702,0.000203,44.079166,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.702662,0.000206,43.233383,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.607486,0.000194,43.369728,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.638865,0.000196,42.967304,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.632131,0.000199,41.761629,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.680702,0.000197,41.840605,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.683891,0.00021,40.368425,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.666626,0.000202,48.807015,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.662952,0.000194,43.555502,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.703229,0.000202,39.35581,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.646147,0.000202,44.631422,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.671869,0.000201,40.325943,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.646794,0.0002,42.675369,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.654275,0.000201,42.761446,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.642338,0.000199,43.049727,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.667142,0.000204,42.519814,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.65503,0.000206,42.968576,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.63353,0.000196,43.755802,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.69384,0.000203,41.003429,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.667351,0.000201,43.735907,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.746194,0.000205,39.624729,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.635585,0.000195,42.931375,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.638561,0.000195,42.963208,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.637225,0.000194,42.799577,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.653674,0.000206,42.326686,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.674921,0.000206,44.627216,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.671597,0.000199,39.384421,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.686892,0.000201,43.247894,LSF_1,hover,m_p1_K_1,0.1,1,1,0
0.672668,0.000196,40.115467,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.639941,0.000198,42.490056,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.618997,0.000199,42.844827,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.647784,0.000193,42.250513,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.670707,0.000202,40.877373,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.605391,0.000189,40.458375,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.641874,0.000196,41.244119,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.698332,0.0002,41.797631,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.699734,0.000198,40.448731,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.650391,0.000193,48.819059,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.610585,0.000199,42.532231,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.657353,0.000196,39.987495,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.66112,0.000191,44.261796,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.664194,0.000201,41.496343,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.687402,0.000195,38.417862,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.664538,0.000191,41.178252,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.59716,0.000195,45.128721,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.680671,0.000199,42.461967,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.637043,0.000194,44.766834,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.626352,0.000194,43.525199,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.643957,0.000195,37.912927,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.684795,0.000203,39.891288,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.609868,0.000187,42.351495,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.719774,0.000199,42.277317,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.628654,0.000188,42.56801,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.657048,0.000194,40.94252,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.670585,0.000198,41.716094,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.626429,0.000198,44.870882,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.67161,0.000197,44.317022,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.66195,0.000207,41.926755,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.705961,0.000206,40.373385,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.701263,0.000195,39.407176,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.679849,0.000199,39.287953,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.653837,0.000194,43.881195,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.63467,0.000192,40.978292,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.663167,0.000195,39.490121,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.602519,0.000192,37.925553,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.625456,0.000189,42.327814,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.623136,0.000188,43.178074,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.710464,0.0002,38.800292,LSF_1,hover,m_p1_K_10,0.1,10,1,0
0.211808,0.000154,102.065055,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.215621,0.000151,96.091867,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.2057,0.000152,103.264447,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.206552,0.00015,104.931593,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.204207,0.000147,107.114147,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.204195,0.000147,104.908058,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.217461,0.000153,99.193122,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.215574,0.000153,107.952131,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.214156,0.000154,97.202414,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.212072,0.000154,103.223034,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.229321,0.000159,116.353295,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.197072,0.000147,110.19905,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.221671,0.000152,104.060287,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.202576,0.000148,106.370153,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.204635,0.000152,119.399049,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.215527,0.00015,98.06072,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.205969,0.000148,108.284821,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.207845,0.00015,104.759472,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.214107,0.000155,107.260451,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.21552,0.000153,103.690912,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.203636,0.000145,106.040258,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.203092,0.000151,101.146704,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.203266,0.000155,104.424764,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.218098,0.000156,103.240345,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.216211,0.000151,101.032211,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.204034,0.000149,101.417881,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.201648,0.000146,104.942809,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.189638,0.000151,108.192291,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.206177,0.000154,111.203022,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.208047,0.000147,101.609458,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.19759,0.000148,104.844618,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.222677,0.00015,109.22704,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.211223,0.000152,106.425914,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.208665,0.000148,102.640193,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.21271,0.000155,107.411957,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.200024,0.000156,106.732204,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.203773,0.000152,111.909341,LSF_1,hover,m_1_K_p1,1,0.1,1,0
0.206791,0.000151,102.929203,LSF_1,hover,m_1_K_p1,1,0.1,1,0
