ndTE,work,cost,LSF,motion,comboName,m,K,LSF,LE
0.122015,0.210462,38.338877,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.118489,0.211554,36.769419,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.127112,0.210783,38.055829,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.11889,0.222544,38.736388,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.115918,0.211331,39.826479,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.118827,0.207382,40.18483,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.115402,0.205464,41.177069,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.123402,0.2095,39.155732,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.126108,0.219041,36.896249,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.120785,0.218493,40.22626,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.123931,0.21463,36.773661,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.118634,0.21093,39.240303,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.117492,0.214864,38.182958,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.129146,0.214705,36.839593,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.119479,0.213672,36.612056,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.12411,0.216695,35.063787,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.116963,0.210227,38.607282,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.117839,0.20526,38.250747,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.129411,0.215695,37.032758,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.11824,0.209093,37.864289,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.112998,0.208428,37.705807,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.112469,0.205612,38.782334,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.116775,0.218954,36.392572,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.119149,0.213496,39.47447,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.119177,0.207807,38.347674,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.121479,0.210022,37.744606,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.118346,0.216116,37.296585,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.129141,0.219686,36.22284,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.130765,0.213294,36.123314,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.117036,0.212454,40.226368,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.124211,0.222034,39.456545,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.121318,0.215758,39.842526,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.120547,0.208587,37.224824,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.124231,0.218393,37.468138,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.115397,0.203873,43.238384,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.116028,0.20541,36.590244,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.122281,0.216788,39.101586,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.118732,0.21119,37.718066,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.133239,0.225076,36.731291,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.118561,0.209391,37.124206,LSF_1,vertical,m001k001,0.1,0.1,1,0
0.11246,0.208264,38.580105,LSF_1,vertical,m001k010,0.1,1,1,0
0.118476,0.202004,38.107207,LSF_1,vertical,m001k010,0.1,1,1,0
0.109126,0.203457,38.267349,LSF_1,vertical,m001k010,0.1,1,1,0
0.126125,0.212822,36.298366,LSF_1,vertical,m001k010,0.1,1,1,0
0.126059,0.208126,35.293398,LSF_1,vertical,m001k010,0.1,1,1,0
0.123435,0.207127,38.219166,LSF_1,vertical,m001k010,0.1,1,1,0
0.1195,0.208358,38.731531,LSF_1,vertical,m001k010,0.1,1,1,0
0.118717,0.210202,36.557373,LSF_1,vertical,m001k010,0.1,1,1,0
0.120116,0.202357,37.047657,LSF_1,vertical,m001k010,0.1,1,1,0
0.122633,0.213186,39.555345,LSF_1,vertical,m001k010,0.1,1,1,0
0.122367,0.213731,37.096779,LSF_1,vertical,m001k010,0.1,1,1,0
0.128963,0.21922,39.102384,LSF_1,vertical,m001k010,0.1,1,1,0
0.113918,0.207722,38.913293,LSF_1,vertical,m001k010,0.1,1,1,0
0.11578,0.208626,40.329943,LSF_1,vertical,m001k010,0.1,1,1,0
0.121255,0.210893,38.870357,LSF_1,vertical,m001k010,0.1,1,1,0
0.118256,0.202588,36.967883,LSF_1,vertical,m001k010,0.1,1,1,0
0.115917,0.209675,39.320065,LSF_1,vertical,m001k010,0.1,1,1,0
0.111832,0.204125,37.513967,LSF_1,vertical,m001k010,0.1,1,1,0
0.118313,0.205097,38.077116,LSF_1,vertical,m001k010,0.1,1,1,0
0.118256,0.211735,37.985049,LSF_1,vertical,m001k010,0.1,1,1,0
0.120562,0.213824,39.703301,LSF_1,vertical,m001k010,0.1,1,1,0
0.112205,0.204396,38.406243,LSF_1,vertical,m001k010,0.1,1,1,0
0.121819,0.210213,35.241289,LSF_1,vertical,m001k010,0.1,1,1,0
0.113325,0.206833,38.039093,LSF_1,vertical,m001k010,0.1,1,1,0
0.112121,0.211377,36.043246,LSF_1,vertical,m001k010,0.1,1,1,0
0.121736,0.217433,39.060861,LSF_1,vertical,m001k010,0.1,1,1,0
0.112883,0.200744,38.100483,LSF_1,vertical,m001k010,0.1,1,1,0
